id;country_name;country_code;calling_code;sub_region;region;population;time_zone;numeric_code
1;vortals Car Hill;HR;responsive Leone Steel;Generic Uganda;Tasty payment;67190;overriding;13426
2;open-source;GQ;clear-thinking;Fresh;back RAM Chips;70481;Music Kids;7751
3;quantifying;CZ;Sharable;Soap Oklahoma synergies;Checking;80543;Small IB;33805
4;Direct digital;NL;Assurance PCI Small;Mississippi Connecticut;Way Computers;39703;Computers enhan;56412
5;payment Seamless;PH;markets;Internal program wireless;Cambridgeshire hack deposit;37253;info-mediaries ;34178
6;Jewelery;CF;context-sensitive;Fresh;Fantastic supply-chains;97685;Customer Config;49089
7;ivory Borders ubiquitous;CD;green Palladium interactive;Usability Customer Loan;array;17220;Wooden;4995
8;Granite;PG;Awesome e-tailers software;feed SDD;Station;32834;disintermediate;5161
9;Pants architect salmon;IR;HDD Soft;Japan Berkshire;Cambridgeshire Wooden Kuna;75267;Visionary gold;78853
10;global;MH;web-enabled Passage;web-enabled extensible;Tuna Thailand;71312;Berkshire mobil;60004
